x,y
0.641,21.3462
-6.7949,8.2692
-12.1795,-1.1538
-17.9487,-11.7308
-21.5385,-18.8462
-21.0256,-14.6154
-19.359,-16.7308
-17.3077,-15
-16.1538,-11.1538
-17.1795,-8.0769
-19.1026,-8.6538
-20.1282,-11.7308
-13.4615,-6.7308
-16.1538,-4.4231
-18.2051,-4.0385
-15.1282,-8.4615
-12.4359,-9.4231
-11.9231,-2.5
-13.9744,-1.5385
-15.3846,-2.1154
-13.0769,2.6923
-13.8462,-2.6923
-11.0256,0.9615
-9.6154,3.0769
-10.8974,5.7692
-9.7436,10
-8.4615,10
-8.5897,7.1154
-5.1282,12.3077
-6.9231,12.5
-5.3846,15.3846
-2.6923,17.1154
-1.6667,19.4231
-2.6923,20.7692
-3.5897,18.6538
-1.4103,21.9231
-8.3333,13.0769
-14.7436,3.2692
-11.4103,8.2692
-16.5385,0
-14.8718,-12.1154
-5.3846,7.8846
-7.0513,4.0385
-3.3333,13.8462
-6.0256,18.0769
17.1795,10
16.1538,8.0769
17.6923,7.8846
16.2821,6.1538
17.9487,5.7692
-0.3846,19.2308
0.2564,24.0385
-10.7692,12.6923
-12.9487,6.5385
-11.7949,3.6538
